County,Precinct,G20PREDBID,G20PRERTRU,G20PRELJOR,G20USSDJAN,G20USSRSAS,G20USSLSIA
Adams,WestBlue/Highland,50,335,4,38,312,19
Adams,Verona,24,131,3,13,119,14
Adams,Kenesaw,86,556,6,56,507,43
Adams,Juniata,97,422,12,55,406,42
Adams,Denver,137,495,10,73,490,40
Adams,Blaine,11,101,1,9,90,7
Adams,Pauline,24,170,3,9,152,10
Adams,Ayr,77,325,9,55,305,23
Adams,Roseland,29,258,6,18,240,24
Adams,Holstein,18,160,1,9,158,13
Adams,1-A,252,570,20,193,552,46
Adams,1-B,187,401,15,131,395,35
Adams,1-C,222,297,12,144,340,18
Adams,2-A,77,258,9,48,260,14
Adams,2-B,176,458,18,98,473,44
Adams,2-C,170,388,12,109,381,42
Adams,2-D,306,658,14,156,670,53
Adams,2-E,182,459,17,129,455,43
Adams,3-A,248,392,12,162,380,52
Adams,3-B,250,310,15,124,326,35
Adams,3-C,254,441,23,165,449,45
Adams,3-D,57,76,0,21,90,9
Adams,3-E,361,848,18,201,877,60
Adams,4-A,193,276,13,112,283,39
Adams,4-B,213,339,15,128,359,32
Adams,4-C,156,169,7,84,167,21
Adams,4-D,283,626,25,196,603,60
Adams,4-E,68,164,4,47,156,14
Adams,New/Former Resident,5,2,0,,,
Adams,Countywide,0,0,0,0,0,0
Antelope,Tilden Precinct,25,140,1,17,133,6
Antelope,Tilden 1st Ward,32,114,1,22,117,6
Antelope,Oakdale Precinct,31,236,3,20,215,17
Antelope,Neligh Precinct,41,234,4,31,219,11
Antelope,Neligh 1st Ward,60,361,4,47,326,24
Antelope,Neligh 2nd Ward,69,285,7,54,266,21
Antelope,Brunswick Precinct,34,331,4,30,278,30
Antelope,Elgin 1st Ward,19,164,2,10,159,7
Antelope,Elgin 2nd Ward,21,190,4,18,181,7
Antelope,Elgin Precinct,22,216,0,13,199,12
Antelope,Royal Precinct,15,118,1,9,107,5
Antelope,Clearwater Precinct,39,434,2,46,376,22
Antelope,Orchard Precinct,44,270,5,37,252,16
Antelope,New/Former Resident,0,0,0,,,
Antelope,Countywide,0,0,0,0,0,0
Arthur,Arthur,0,0,0,0,0,0
Arthur,New/Former Resident,0,0,0,,,
Arthur,Countywide,21,260,3,21,228,21
Banner,Long Springs,43,362,5,39,335,21
Banner,New/Former Resident,0,0,0,,,
Banner,Countywide,0,0,0,0,0,0
Blaine,Blaine,35,280,2,35,222,34
Blaine,New/Former Resident,0,0,0,,,
Blaine,Countywide,0,0,0,0,0,0
Boone,Boone,14,131,2,11,120,10
Boone,Beaver,57,347,11,40,305,28
Boone,Cedar,81,262,5,65,232,22
Boone,Dublin-Bonanza,27,123,3,27,105,8
Boone,North Branch-Shell Creek,12,83,0,6,74,3
Boone,North Manchester,76,394,8,47,355,27
Boone,Oakland,60,371,8,49,319,26
Boone,Southeast Manchester,105,459,18,66,445,28
Boone,Southwest Manchester,67,483,10,40,447,26
Boone,New/Former Resident,0,0,0,0,0,0
Boone,Countywide,0,0,0,0,0,0
Box Butte,Precinct 1,149,378,19,122,382,27
Box Butte,Precinct 2,135,438,17,117,411,45
