OBJECTID,STATEFP10,COUNTYFP10,VTDST10,GEOID10,VTDI10,NAME10,NAMELSAD10,LSAD10,MTFCC10,FUNCSTAT10,ALAND10,AWATER10,INTPTLAT10,INTPTLON10,TAPERSONS,TA1RACE,TAWHITEALN,TABLACKALN,TAAMINDALN,TAASIANALN,TANHPOALN,TAOTHERALN,TA2RACE,TAPOP2RACE,TAWHTBLACK,TAWHAIAN,TAWHTASIAN,TAWHNHPO,TAWHTOTHER,TABLAIAN,TABLKASIAN,TABLNHPO,TABLKOTHER,TAAIANAS,TAAIANNHP,TAAIANOR,TAASNHPO,TAASIANOTH,TANHPOOR,TA3RACES,TAWHBLAIN,TAWHBLAS,TAWHBLNHP,TAWHBLOR,TAWHAIANS,TAWHAIANHP,TAWHAIANOR,TAWASNHOPI,TAWHASOR,TAWHNHPOOT,TABLAIANS,TABLAIANHP,TABLAIANOR,TABLASNHOP,TABLASOR,TABLNHPOOR,TAAIANASHP,TAAIANASOR,TAAIANNHPO,TAASNHPOOR,TA4RACES,TAWHBLAINA,TAWHBLINHP,TAWHBLAINO,TAWHBLASHP,TAWHBLASOR,TAWHBLNHPO,TAWHAINSHP,TAWHAIANSO,TAWHAINHPO,TAWHASNHPO,TABLAINSHP,TABLAIANSO,TABLAINHPO,TABLASNHPO,TAAIANSHPO,TA5RACES,TAWHBINSHP,TAWHBLINSO,TAWHBINHPO,TAWHBLSHPO,TAWHINSHPO,TABLINSHPO,TA6RACES,TWHBINSHPO,THISPNHISP,TAHISPANIC,TNHISPANIC,TN1RACE,TNWHALN,TNBLKALN,TNAIANALN,TNASIANALN,TNNHPOALN,TNOTHRALN,TN2MRACES,TN2RACES,TNWHBL,TNWHAIAN,TNWHTASIAN,TNWHNHPOPI,TNWHOR,TNBLAIAN,TNBLASIAN,TNBLNHPOPI,TNBLOR,TNAIANAS,TNAIANNHPI,TNAIANOR,TNASNHPOPI,TNASOR,TNNHOPIOOR,TN3RACES,TNWHBLAIAN,TNWHBLAS,TNWHBLNHPI,TNWHBLOR,TNWHAIANAS,TNWHAIANHP,TNWHAIANOR,TNWHASNHPI,TNWHASOR,TNWHNHPOOR,TNBLAIANAS,TNBLAIANHP,TNBLAIANOR,TNBLASNHPI,TNBLASOR,TNBLNHPOOR,TNAIANASHP,TNAIANASOR,TNAIANNHPO,TNASNHPOOR,TN4RACES,TNWHBLAINS,TNWHBLINHP,TNWHBLAINO,TNWHBLASHP,TNWHBLASOR,TNWHBLNHPO,TNWHAINSHP,TNWHAIANSO,TNWHAINHPO,TNWHASNHPO,TNBLAINSHP,TNBLAIANSO,TNBLAINHPO,TNBLASNHPO,TNAIANSHPO,TN5RACES,TNWHBINSHP,TNWHBLINSO,TNWHBINHPO,TNWHBLSHPO,TNWHINSHPO,TNBLINSHPO,TN6RACES,TNWBINSHPO,VAPERSONS,VA1RACE,VAWHITEALN,VABLACKALN,VAAIANALN,VAASIANALN,VANHPOALN,VAOTHERALN,VA2MRACES,VA2RACES,VAWHBL,VAWHAIAN,VAWHAS,VAWHNHPO,VAWHOR,VABLAIAN,VABLASIAN,VABLNHOPI,VABLOR,VAAIANAS,VAAIANNHPI,VAAIANOR,VAASNHOPI,VAASOR,VANHPOOR,VA3RACES,VAWHBLAIAN,VAWHBLAS,VAWHBLNHPI,VAWHBLOR,VAWHAIANAS,VAWHAIANHP,VAWHAIANOR,VAWHASNHPI,VAWHASOR,VAWHNHPIOT,VABLAIANAS,VABLAIANHP,VABLAIANOR,VABLASNHPI,VABLASOR,VABLNHPIOT,VAAIANASHP,VAAIANASOR,VAAIANNHPO,VAASNHPOOR,VA4RACES,VAWHBLAINS,VAWHBLINHP,VAWHBLAINO,VAWHBLASHP,VAWHBLASOR,VAWHBLNHPO,VAWHAINSHP,VAWHAIANSO,VAWHAINHPO,VAWHASNHPO,VABLAINSHP,VABLAIANSO,VABLAINHPO,VABLASNHPO,VAAIANSHPO,VA5RACES,VAWHBINSHP,VAWHBLINSO,VAWHBINHPO,VAWHBLSHPO,VAWHINSHPO,VABLINSHPO,VA6RACES,VAWBINSHPO,VAHISNHISP,VAHISPANIC,VANHISPANC,VAN1RACE,VANWHTALN,VANBLKALN,VANAIANALN,VANASANALN,VANNHPOALN,VANORALN,VANM2RACES,VAN2RACES,VANWHBL,VANWHAIAN,VANWHAS,VANWHNHOPI,VANWHOR,VANBLAIAN,VANBLAS,VANBLNHOPI,VANBLOR,VANAIANAS,VANAIANNHP,VANAIANOR,VANASNHOPI,VANASOR,VANNHOPIOR,VAN3RACES,VANWHBLAIN,VANWHBLAS,VANWHBLNHP,VANWHBLOR,VANWHAIANS,VANWHAINHP,VANWHAIANO,VANWHASNHP,VANWHASOR,VANWHNHOPO,VANBLAIANS,VANBLAINHP,VANBLAIANO,VANBLASNHP,VANBLASOR,VANBLNHOPO,VANAIANSHP,VANAIANASO,VANAIANHPO,VANASNHPOO,VAN4RACES,VANWHBLINS,VANWHBINHP,VANWHBLINO,VANWHBLSHP,VANWHBLASO,VANWHBLHPO,VANWHINSHP,VANWHAINSO,VANWHINHPO,VANWHASHPO,VANBLINSHP,VANBLAINSO,VANBLINHPO,VANBLASHPO,VANAINSHPO,VAN5RACES,VANWBINSHP,VANWHBINSO,VANWBINHPO,VANWHBSHPO,VANWINSHPO,VANBINSHPO,VAN6RACES,VNWBINSHPO,TAHOUSING,TAHOCCUPID,TAHVACANT,GDB_GEOMATTR_DATA,Shape__Area,Shape__Length
1,31,001,13W,3100113W,P,3E,Voting District 3E,V1,G5240,S,4787643,354581,+40.6370804,-098.3896288,1723,1722,1662,6,9,36,0,9,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1723,22,1701,1700,1652,2,9,36,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1312,1311,1269,4,6,26,0,6,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1312,19,1293,1292,1259,0,6,26,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,711,678,33,,55325473.2499687,70464.043770039
2,31,001,12W,3100112W,P,3D,Voting District 3D,V1,G5240,S,385755,0,+40.6004659,-098.4044923,299,295,289,0,0,6,0,0,4,4,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,299,7,292,288,282,0,0,6,0,0,4,4,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,226,225,222,0,0,3,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,226,3,223,222,219,0,0,3,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127,119,8,,4150418.66065184,8868.77798750979
3,31,001,11W,3100111W,P,3C,Voting District 3C,V1,G5240,S,843665,0,+40.5932500,-098.3995638,1558,1543,1430,8,14,20,0,71,15,15,3,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1558,168,1390,1381,1347,8,6,20,0,0,9,9,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1196,1188,1121,5,9,9,0,44,8,8,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1196,105,1091,1087,1070,5,3,9,0,0,4,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,707,665,42,,9077154.37218171,17654.3599638553
4,31,001,5W,310015W,A,2A,Voting District 2A,V1,G5240,N,2221014,0,+40.5725115,-098.4304060,291,278,224,0,2,12,0,40,13,11,0,3,0,0,2,0,0,0,0,0,0,5,0,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,291,75,216,211,197,0,2,12,0,0,5,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201,194,164,0,2,7,0,21,7,5,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201,38,163,159,150,0,2,7,0,0,4,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123,113,10,,23896598.290248,34675.2809258234
5,31,001,7W,310017W,A,2C,Voting District 2C,V1,G5240,N,617196,0,+40.5916293,-098.4110046,1296,1280,1208,6,6,33,0,27,16,13,2,1,2,0,4,1,2,0,1,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1296,83,1213,1205,1158,6,6,33,0,2,8,8,2,1,2,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,993,983,937,2,5,25,0,14,10,9,1,1,1,0,2,1,2,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,993,46,947,941,909,2,5,25,0,0,6,6,1,1,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,577,547,30,,6640558.45810266,13042.5191916658
6,31,001,8W,310018W,P,2D,Voting District 2D,V1,G5240,S,1558661,0,+40.5984327,-098.4128104,1462,1455,1426,5,2,19,0,3,7,7,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1462,17,1445,1438,1413,3,2,19,0,1,7,7,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1133,1131,1115,1,2,11,0,2,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1133,7,1126,1124,1109,1,2,11,0,1,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,644,620,24,,16769931.0300132,19474.7580359172
7,31,001,4P,310014P,P,West Blue/Highland Precinct,West Blue/Highland Precinct,00,G5240,S,172088926,756144,+40.6587729,-098.3890172,651,647,636,1,2,4,0,4,4,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,651,15,636,635,628,1,2,4,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,482,481,474,1,2,1,0,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,482,5,477,476,472,1,2,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,247,239,8,,1859617523.95441,240610.716010817
8,31,001,15W,3100115W,P,4B,Voting District 4B,V1,G5240,S,4145155,8144,+40.6076880,-098.3775840,1328,1310,1269,0,1,22,4,14,18,15,6,3,3,1,2,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1328,39,1289,1273,1249,0,1,22,0,1,16,13,6,3,3,1,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1023,1017,989,0,1,14,1,12,6,5,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1023,23,1000,994,978,0,1,14,0,1,6,5,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,603,576,27,,44685762.5309838,57810.3034095231
9,31,001,5P,310015P,P,Denver Precinct,Denver Precinct,00,G5240,S,73803420,319287,+40.5613879,-098.4478288,960,949,938,0,1,5,0,5,11,11,0,1,4,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,960,14,946,941,934,0,1,5,0,1,5,5,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,737,731,724,0,1,4,0,2,6,6,0,1,1,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,737,9,728,726,721,0,1,4,0,0,2,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,381,367,14,,797516732.793336,203393.858514768
10,31,001,14W,3100114W,P,4A,Voting District 4A,V1,G5240,S,738023,11570,+40.5903117,-098.3814164,1324,1292,1148,10,1,26,0,107,32,32,6,8,8,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1324,158,1166,1145,1108,10,1,26,0,0,21,21,5,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,988,974,889,5,1,17,0,62,14,14,1,6,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,988,87,901,891,868,5,1,17,0,0,10,10,1,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,602,544,58,,8065089.79260377,12075.5678114323
