source_ID,vest_ID
001-3-E,001-3E
001-2-D,001-2D
001-4-D,001-4D
001-1-A,001-1A
001-2-E,001-2E
001-2-B,001-2B
001-3-C,001-3C
001-JUNIATA,001-JUNIATA PRECINCT
001-1-B,001-1B
001-3-A,001-3A
001-2-C,001-2C
001-4-B,001-4B
001-WESTBLUE/HIGHLAND,001-HIGHLAND_WEST_BLUE
001-3-B,001-3B
001-1-C,001-1C
001-4-A,001-4A
001-2-A,001-2A
001-4-C,001-4C
001-4-E,001-4E
001-3-D,001-3D
003-NELIGH 1ST WARD,003-NELIGH CITY 1ST WARD
003-NELIGH 2ND WARD,003-NELIGH CITY 2ND WARD
005-ARTHUR,005-ARTHUR PRECINCT
007-LONG SPRINGS,007-LONG SPRINGS PRECINCT
009-BLAINE,009-BLAINE PRECINCT
011-SOUTHWEST MANCHESTER,011-SOUTHWEST MANCHESTER PRECINCT
011-SOUTHEAST MANCHESTER,011-SOUTHEAST MANCHESTER PRECINCT
011-NORTH MANCHESTER,011-NORTH MANCHESTER PRECINCT
011-OAKLAND,011-OAKLAND PRECINCT
011-BEAVER,011-BEAVER PRECINCT
011-CEDAR,011-CEDER PRECINCT
011-BOONE,011-BOONE PRECINCT
011-DUBLIN-BONANZA,011-DUBLIN-BONANZA PRECINCT
011-NORTH BRANCH-SHELL CREEK,011-NORTH BRANCH-SHELL CREEK PRECINCT
013-PRECINCT 15,013-VOTING PRECINCT 15
013-PRECINCT 5,013-VOTING PRECINCT 5
013-PRECINCT 6,013-VOTING PRECINCT 6
013-PRECINCT 4,013-VOTING PRECINCT 4
013-PRECINCT 2,013-VOTING PRECINCT 2
013-PRECINCT 1,013-VOTING PRECINCT 1
013-PRECINCT 3,013-VOTING PRECINCT 3
013-PRECINCT 12,013-VOTING PRECINCT 12
013-PRECINCT 11,013-VOTING PRECINCT 11
015-BUTTE BASIN MCCULLEY,015-BASIN - MCCULLEY - BUTTE PRECINCT
015-SPENCER MORTON,015-SPENCER - MORTON PRECINCT
015-LYNCH BRISTOW MULLEN BUSH,015-BRISTOW - MULLEN - LYNCH - BUSH PRECINCT
017-CITY OF AINSWORTH,017-CITY OF AINSWORTH PRECINCT
017-THE PINES,017-PINES PRECINCT
019-PRECINCT 7,019-PRECINT 7
021-TEKAMAH I,021-TEKAMAH 1
021-TEKAMAH II,021-TEKAMAH 2
021-LYONS CITY,021-LYONS PRECINCT
021-OAKLAND I,021-OAKLAND CITY 1
021-BELL-OAK-PERSH,021-BELLCREEK-OAKLAND-PERSHING PRECINCT
021-SILVERCREEK-SUMMIT,021-SILVER CREEK-SUMMIT PRECINCT
021-OAKLAND II,021-OAKLAND CITY 2
021-DECATUR-QUINN,021-DECATUR-QUINBAUGH PRECINCT
021-CRAIG,021-CRAIG PRECINCT
021-EVERETT-LOGAN,021-EVERETT-LOGAN PRECINCT
023-SAVANNAH-ALEXIS,023-SAVANNAH-ALEXIS PRECINCT
023-THIRD WARD,023-DAVID CITY WARD 3
023-SECOND WARD,023-DAVID CITY WARD 2
023-OAK CREEK-CENTER,023-OAK CREEK-CENTER PRECINCT
023-SUMMIT-READING,023-SUMMIT-READING PRECINCT
023-LINWOOD-SKULL CREEK-PLATTE,023-LINWOOD-SKULL CREEK - PLATTE PRECINCT
023-FIRST WARD,023-DAVID CITY WARD 1
023-PLUM CREEK-RICHARDSON,023-PLUM CREEK-RICHARDSON PRECINCT
023-FRANKLIN-BONE CREEK,023-FRANKLIN-BONE CREEK PRECINCT
023-UNION-OLIVE,023-UNION-OLIVE PRECINCT
023-READ-ULYSSES,023-READ-ULYSSES PRECINCT
025-SOUTH ROCK BLUFF,025-SOUTH_ROCK_BLUFF
025-SOUTH PLATTSMOUTH,025-SOUTH_PLATTSMOUTH
025-BUCCANEER BAY,025-BUCCANEER_BAY
025-EIGHT MILE GROVE,025-EIGHT_MILE_GROVE
025-WEST LOUISVILLE,025-WEST_LOUISVILLE
025-NORTH ROCK BLUFF,025-NORTH_ROCK_BLUFF
025-SOUTH BEND,025-SOUTH_BEND
025-NORTH PLATTSMOUTH,025-NORTH_PLATTSMOUTH
025-STOVE CREEK,025-STOVE_CREEK
025-SALT CREEK,025-SALT_CREEK
025-EAST LOUISVILLE,025-EAST_LOUISVILLE
025-WEST ROCK BLUFF,025-WEST_ROCK_BLUFF
025-3RD WARD - 1ST PRECINCT,025-PLATTSMOUTH_3_WARD_1_PRECINCT
025-2ND WARD - 1ST PRECINCT,025-PLATTSMOUTH_2_WARD_1_PRECINCT
025-4TH WARD - 2ND PRECINCT,025-PLATTSMOUTH_4_WARD_2_PRECINCT
025-1ST WARD - 1ST PRECINCT,025-PLATTSMOUTH_1_WARD_1_PRECINCT
025-1ST WARD - 2ND PRECINCT,025-PLATTSMOUTH_1_WARD_2_PRECINCT
025-2ND WARD - 2ND PRECINCT,025-PLATTSMOUTH_2_WARD_2_PRECINCT
025-3RD WARD - 2ND PRECINCT,025-PLATTSMOUTH_3_WARD_2_PRECINCT
025-WEEPING WATER 1ST WARD,025-WEEPING_WATER_WARD_1
025-WEEPING WATER 2ND WARD,025-WEEPING_WATER_WARD_2
025-4TH WARD - 1ST PRECINCT,025-PLATTSMOUTH_4_WARD_1_PRECINCT
025-MOUNT PLEASANT,025-MOUNT_PLEASANT
027-PRECINCT 6 (8-9),027-PRECINCT 6
027-PRECICNT 13 (21),027-PRECINCT 13
027-PRECINCT 11 (19),027-PRECINCT 11
027-PRECINCT 9 (15-16),027-PRECINCT 9
027-PRECICNT 4 (5-6-7),027-PRECINCT 4
027-PRECINCT 2 (2-3),027-PRECINCT 2
027-PRECINCT 8 (10-11-12),027-PRECINCT 8
027-PRECICNT 3 (4),027-PRECINCT 3
027-PRECINCT 1 (1),027-PRECINCT 1
027-PRECICNT 10 (17-18),027-PRECINCT 10
027-PRECINCT 5 (13-14),027-PRECINCT 5
027-PRECINCT 12 (20),027-PRECINCT 12
027-PRECICNT 7 (9A),027-PRECINCT 7
029-IMPERIAL WEST,029-IMPERIAL WEST PRECINCT
029-WAUNETA,029-WAUNETA PRECINCT
029-IMPERIAL RURAL,029-IMPERIAL RURAL PRECINCT
029-IMPERIAL EAST,029-IMPERIAL EAST PRECINCT
029-CHAMPION/LAMAR,029-CHAMPION/LAMAR PRECINCT
031-VALENTINE NORTH,031-NORTH VALENTINE PRECINCT
031-VALENTINE EAST,031-EAST VALENTINE PRECINCT
031-VALENTINE SOUTH,031-SOUTH VALENTINE PRECINCT
031-CODY,031-CODY PRECINCT
031-MERRIMAN,031-MERRIMAN PRECINCT
031-LOUP,031-LOUP PRECINCT
031-CROOKSTON,031-CROOKSTON PRECINCT
031-WOOD LAKE,031-WOOD LAKE PRECINCT
031-WELLS,031-WELLS PRECINCT
031-GOOSE CREEK,031-GOOSE CREEK PRECINCT
031-KILGORE,031-KILGORE PRECINCT
031-CLEVELAND,031-CLEVELAND PRECINCT
031-LACKEY,031-LACKEY PRECINCT
031-MOTHER LAKE,031-MOTHER LAKE PRECINCT
031-BARLEY,031-BARLEY PRECINCT
031-NENZEL,031-NENZEL PRECINCT
031-KENNEDY,031-KENNEDY PRECINCT
031-GILLASPIE,031-GILLASPIE PRECINCT
031-RUSSELL,031-RUSSELL PRECINCT
031-KING,031-KING PRECINCT
033-SIDNEY 5,033-SIDNEY PRECINCT 5
033-SIDNEY 2,033-SIDNEY PRECINCT 2
033-SIDNEY 4,033-SIDNEY PRECINCT 4
033-SIDNEY 3,033-SIDNEY PRECINCT 3
033-SIDNEY 1,033-SIDNEY PRECINCT 1
033-LODGEPOLE,033-LODGEPOLE PRECINCT
033-POTTER,033-POTTER PRECINCT
033-GURLEY,033-GURLEY PRECINCT
033-UNION VALLEY,033-UNION VALLEY PRECINCT
035-HARVARD CONS.,035-HARVARD PRECINCT
035-SUTTON 1ST,035-SUTTON 1ST PRECINCT
035-SUTTON 2ND,035-SUTTON 2ND PRECINCT
035-CLAY CENTER CITY,035-CLAY CENTER PRECINCT
035-EDGAR CONS.,035-EDGAR CONS. PRECINCT
035-SUTTON TWPS,035-SUTTON TWPS PRECINCT
035-LLLM CONS.,035-L.L.L.M. CONS PRECINCT
035-SPRING RANCH FF 2ND,035-SPRING RANCH/FAIRFIELD PRECINCT
035-GLENVIL,035-GLENVIL PRECINCT
035-INLAND LEICESTER,035-LEICESTER/INLAND PRECINCT
035-FAIRFIELD 1ST,035-FAIRFIELD PRECINCT
037-CLARKSON 4,037-4 PRECINCT
037-SCHUYLER 2,037-2 PRECINCT
037-SCHUYLER 3,037-3 PRECINCT
037-HOWELLS 5,037-5 PRECINCT
037-SCHUYLER 1,037-1 PRECINCT
039-WP1&3,039-WEST POINT WARD 1 & 3
039-BGW,"039-WISNER, BLAINE & GRANT PRECINCT"
039-SSGC,039-ST. CHARLES SHERMAN GARFIELD & CUMING PRECINCT
039-WP2,039-WEST POINT WARD 2
039-SW4,039-SW 4
039-BCN,"039-BANCROFT, CLEVELAND & NELIGH PRECINCT"
039-BL,039-BEEMER & LOGAN PRECINCT
